student_id,round_id,arm_id,start_level,delta_level,end_level
1,1,1,0,0,0
2,1,2,4,2,4
3,1,1,1,2,3
4,1,2,2,1,3
5,1,1,1,0,1
6,1,2,4,1,4
7,1,1,4,2,4
8,1,2,1,1,2
9,1,1,3,2,4
10,1,2,1,2,3
11,1,1,3,2,4
12,1,2,2,0,2
13,1,1,1,2,3
14,1,2,4,2,4
15,1,1,3,0,3
16,1,2,0,1,1
17,1,1,3,0,3
18,1,2,0,0,0
19,1,1,2,1,3
20,1,2,4,2,4
21,1,1,1,2,3
22,1,2,3,2,4
23,1,1,2,0,2
24,1,2,0,1,1
25,1,1,4,2,4
26,1,2,2,2,4
27,1,1,4,0,4
28,1,2,0,0,0
29,1,1,0,1,1
30,1,2,3,0,3
31,1,1,2,0,2
32,1,2,0,2,2
33,1,1,1,0,1
34,1,2,4,2,4
35,1,1,3,0,3
36,1,2,2,1,3
37,1,1,4,0,4
38,1,2,0,2,2
39,1,1,3,2,4
40,1,2,3,2,4
41,1,1,1,0,1
42,1,2,0,0,0
43,1,1,3,0,3
44,1,2,0,2,2
45,1,1,2,0,2
46,1,2,3,2,4
47,1,1,2,1,3
48,1,2,2,1,3
49,1,1,1,0,1
50,1,2,4,0,4
51,1,1,4,2,4
52,1,2,1,2,3
53,1,1,2,2,4
54,1,2,1,2,3
55,1,1,4,1,4
56,1,2,1,0,1
57,1,1,0,0,0
58,1,2,1,0,1
59,1,1,1,1,2
60,1,2,2,1,3
61,1,1,0,2,2
62,1,2,1,0,1
63,1,1,4,2,4
64,1,2,3,1,4
65,1,1,0,1,1
66,1,2,4,2,4
67,1,1,2,0,2
68,1,2,4,2,4
69,1,1,1,2,3
70,1,2,0,1,1
71,1,1,4,2,4
72,1,2,0,0,0
73,1,1,3,1,4
74,1,2,4,1,4
75,1,1,2,2,4
76,1,2,1,1,2
77,1,1,1,1,2
78,1,2,1,1,2
79,1,1,0,0,0
80,1,2,3,0,3
81,1,1,3,1,4
82,1,2,4,0,4
83,1,1,3,0,3
84,1,2,2,1,3
85,1,1,2,1,3
86,1,2,0,1,1
87,1,1,4,1,4
88,2,2,1,0,1
89,2,1,3,1,4
90,2,2,2,0,2
91,2,1,3,2,4
92,2,2,2,0,2
93,2,1,1,0,1
94,2,2,1,2,3
95,2,1,4,1,4
96,2,2,0,0,0
97,2,1,1,2,3
98,2,2,0,2,2
99,2,1,2,1,3
100,2,2,2,1,3
101,2,1,4,1,4
102,2,2,1,2,3
103,2,1,1,2,3
104,2,2,3,0,3
105,2,1,3,0,3
106,2,2,1,1,2
107,2,1,4,2,4
108,2,2,4,2,4
109,2,1,4,0,4
110,2,2,0,2,2
111,2,1,3,2,4
112,2,2,0,0,0
113,2,1,1,2,3
114,2,2,0,1,1
115,2,1,4,1,4
116,2,2,0,2,2
117,2,1,2,0,2
118,2,2,2,1,3
119,2,1,0,1,1
120,2,2,4,2,4
121,2,1,3,0,3
122,2,2,1,0,1
123,2,1,4,0,4
124,2,2,3,1,4
125,2,1,1,1,2
126,2,2,4,0,4
127,2,1,1,0,1
128,2,2,1,0,1
129,2,1,3,1,4
130,2,2,3,0,3
131,2,1,1,0,1
132,2,2,4,2,4
133,2,1,4,0,4
134,2,2,4,1,4
135,2,1,2,2,4
136,2,2,1,0,1
137,2,1,3,0,3
138,2,2,3,1,4
139,2,1,1,0,1
140,2,2,3,0,3
141,2,1,2,1,3
142,2,2,4,2,4
143,2,1,2,0,2
144,2,2,4,2,4
145,2,1,1,1,2
146,2,2,1,0,1
147,2,1,2,2,4
148,2,2,0,2,2
149,2,1,4,2,4
150,2,2,2,2,4
151,2,1,3,0,3
152,2,2,0,0,0
153,2,1,1,1,2
154,2,2,4,2,4
155,2,1,1,1,2
156,2,2,0,0,0
157,2,1,3,1,4
158,2,2,4,0,4
159,2,1,3,1,4
160,2,2,2,1,3
161,2,1,4,1,4
162,2,2,3,0,3
163,2,1,0,1,1
164,2,2,0,0,0
165,3,1,2,0,2
166,3,2,1,1,2
167,3,1,1,2,3
168,3,2,2,0,2
169,3,1,4,0,4
170,3,2,0,2,2
171,3,1,2,2,4
172,3,2,3,1,4
173,3,1,4,1,4
174,3,2,0,0,0
175,3,1,4,1,4
176,3,2,4,1,4
177,3,1,1,0,1
178,3,2,0,2,2
179,3,1,1,2,3
180,3,2,2,0,2
181,3,1,4,1,4
182,3,2,2,0,2
183,3,1,4,1,4
184,3,2,3,2,4
185,3,1,0,1,1
186,3,2,1,0,1
187,3,1,3,1,4
188,3,2,2,1,3
189,3,1,3,2,4
190,3,2,1,2,3
191,3,1,3,0,3
192,3,2,3,0,3
193,3,1,1,2,3
194,3,2,0,2,2
195,3,1,3,2,4
196,3,2,0,0,0
197,3,1,4,2,4
198,3,2,1,2,3
199,3,1,2,1,3
200,3,2,0,2,2
201,3,1,1,0,1
202,3,2,1,1,2
203,3,1,0,1,1
204,3,2,1,1,2
205,3,1,0,2,2
206,3,2,1,1,2
207,3,1,4,2,4
208,3,2,2,2,4
209,3,1,3,1,4
210,3,2,4,1,4
211,3,1,3,2,4
212,3,2,2,0,2
213,3,1,0,2,2
214,3,2,1,2,3
215,3,1,3,0,3
216,3,2,4,0,4
217,3,1,4,0,4
218,3,2,1,1,2
219,3,1,4,0,4
220,3,2,4,0,4
221,3,1,1,2,3
222,3,2,1,2,3
223,3,1,2,1,3
224,3,2,3,1,4
225,3,1,4,2,4
226,3,2,2,2,4
227,3,1,3,0,3
228,3,2,4,1,4
229,3,1,0,0,0
230,3,2,4,1,4
231,3,1,3,2,4
232,3,2,4,1,4
233,3,1,3,0,3
234,3,2,2,1,3
235,3,1,1,2,3
236,3,2,4,2,4
237,3,1,4,2,4
238,3,2,2,0,2
239,3,1,4,1,4
240,3,2,4,2,4
241,3,1,4,0,4
242,3,2,3,1,4
243,3,1,1,2,3
244,3,2,0,1,1
245,3,1,3,1,4
246,3,2,4,2,4
247,3,1,4,1,4
248,3,2,1,2,3
249,3,1,2,2,4
250,3,2,3,2,4
251,3,1,4,0,4
252,3,2,2,1,3
253,3,1,1,2,3
254,3,2,1,2,3
255,3,1,3,2,4
256,3,2,4,0,4
257,3,1,4,2,4
258,3,2,3,1,4
259,3,1,3,0,3
260,3,2,0,2,2
261,3,1,3,1,4
262,4,2,0,0,0
263,4,1,0,1,1
264,4,2,2,0,2
265,4,1,0,2,2
266,4,2,1,1,2
267,4,1,0,1,1
268,4,2,1,0,1
269,4,1,3,2,4
270,4,2,0,1,1
271,4,1,0,2,2
272,4,2,3,1,4
273,4,1,1,1,2
274,4,2,1,2,3
275,4,1,3,1,4
276,4,2,0,2,2
277,4,1,0,1,1
278,4,2,0,2,2
279,4,1,2,0,2
280,4,2,1,1,2
281,4,1,1,1,2
282,4,2,1,1,2
283,4,1,4,2,4
284,4,2,4,1,4
285,4,1,2,1,3
286,4,2,3,1,4
287,4,1,1,1,2
288,4,2,3,0,3
289,4,1,0,1,1
290,4,2,0,1,1
291,4,1,0,0,0
292,4,2,4,2,4
293,4,1,0,0,0
294,4,2,2,1,3
295,4,1,2,2,4
296,4,2,2,0,2
297,4,1,1,1,2
298,4,2,1,1,2
299,4,1,3,1,4
300,4,2,3,2,4
301,4,1,1,2,3
302,4,2,2,1,3
303,4,1,4,0,4
304,4,2,2,2,4
305,4,1,1,2,3
306,4,2,2,0,2
307,4,1,4,2,4
308,4,2,1,1,2
309,4,1,0,0,0
310,4,2,3,2,4
311,4,1,3,2,4
312,4,2,2,1,3
313,4,1,4,1,4
314,4,2,0,0,0
315,4,1,3,0,3
316,4,2,1,2,3
317,4,1,1,2,3
318,4,2,4,0,4
319,4,1,0,0,0
320,5,2,4,1,4
321,5,1,4,2,4
322,5,2,1,2,3
323,5,1,2,2,4
324,5,2,1,0,1
325,5,1,1,1,2
326,5,2,3,0,3
327,5,1,0,1,1
328,5,2,4,0,4
329,5,1,2,2,4
330,5,2,3,2,4
331,5,1,2,1,3
332,5,2,3,2,4
333,5,1,4,0,4
334,5,2,3,2,4
335,5,1,2,0,2
336,5,2,1,0,1
337,5,1,4,1,4
338,5,2,0,1,1
339,5,1,2,2,4
340,5,2,3,1,4
341,5,1,1,1,2
342,5,2,4,1,4
343,5,1,0,1,1
344,5,2,1,0,1
345,5,1,2,2,4
346,5,2,2,2,4
347,5,1,0,0,0
348,5,2,2,2,4
349,5,1,4,1,4
350,5,2,2,0,2
351,5,1,1,1,2
352,5,2,2,1,3
353,5,1,4,0,4
354,5,2,0,0,0
355,5,1,3,0,3
356,5,2,1,1,2
357,5,1,2,2,4
358,5,2,2,0,2
359,5,1,1,2,3
360,5,2,4,1,4
361,5,1,4,1,4
362,5,2,3,0,3
363,5,1,3,1,4
364,5,2,3,1,4
365,5,1,1,1,2
366,5,2,4,2,4
367,5,1,1,1,2
368,5,2,2,2,4
369,5,1,4,1,4
370,5,2,0,1,1
371,5,1,4,1,4
372,5,2,3,0,3
373,5,1,0,0,0
374,5,2,4,2,4
375,5,1,4,0,4
376,5,2,1,0,1
377,5,1,4,1,4
378,5,2,4,1,4
379,5,1,4,0,4
380,5,2,4,0,4
381,5,1,2,1,3
382,5,2,0,1,1
383,5,1,4,2,4
384,5,2,0,1,1
385,5,1,0,2,2
386,5,2,1,1,2
387,5,1,2,2,4
388,5,2,3,0,3
389,5,1,4,2,4
390,5,2,3,1,4
391,5,1,4,1,4
392,5,2,1,1,2
393,5,1,0,0,0
394,5,2,3,2,4
395,5,1,4,0,4
396,5,2,2,2,4
397,5,1,2,1,3
398,5,2,3,2,4
399,5,1,4,2,4
400,5,2,0,0,0
401,5,1,1,2,3
402,5,2,4,1,4
403,5,1,4,1,4
404,5,2,1,2,3
405,5,1,1,0,1
406,5,2,3,0,3
407,5,1,2,2,4
408,5,2,0,0,0
409,5,1,1,2,3
410,5,2,1,0,1
411,5,1,0,1,1
412,5,2,0,2,2
